Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_formattedAddress,location_crossStreet,location_neighborhood,id,location_postalCode,location_city,location_state,location_country,Venue_Category_Real,categories_name,categories_pluralName,cluster_label
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",,Hotel,Tibetan kitchen,28.44061404,77.08783081,Sector 52,Sector 52 (Near Aardee City),Near Aardee City,Near Aardee City,4cfd02762d80a143966e54d8,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,24
Greater Kailash,Chittaranjan Park,Hotel,Culinaire,28.53077704,77.24581586,Greater Kailash 2,Greater Kailash 2,,Greater Kailash 2,4b93e105f964a520fe5634e3,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,15
Green Park,Green Park Market ,Hotel,Mamagoto,28.52875619,77.21945028,"S 9, 2nd Floor, Select Citywalk Mall, Saket","S 9, 2nd Floor, Select Citywalk Mall, Saket (Saket)",Saket,Green Park Market,4d2884f4342d6dcb862ef9ca,110016,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,23
Gadaipur ,Khandsa ,Hotel,Thai Pavillion,28.45591062,77.07052598,Vivanta by Taj - Gurgaon NCR,Vivanta by Taj - Gurgaon NCR (Sector 44),Sector 44,Sector 44,514c40abe4b0dc9e7d94dfb4,122004,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,34
DLF Phase II III IV,Galleria DLF-IV ,Hotel,Mamagoto,28.46769144,77.06413272,"SCO 56, City Centre","SCO 56, City Centre (Sector 29)",Sector 29,Sector 29,503661f3e4b0419538b120a0,122009,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,0
Rajouri Garden,,Hotel,Joe's Sizzler,28.6406,77.103142,,India,,New Delhi,57fbb982498e4e9653d7e415,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,3
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Hotel,food island truck,28.43473667,77.05583641,,India,,New Delhi,560425c3498e9b726fdba210,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,18
Sector 12 Noida,Noida Sector 12,Hotel,Baby Dragon Bar,28.56968257,77.32361142,"G-34, Sector 18","G-34, Sector 18",,"G-34, Sector 18",51b9fe45498e8587bbd40c24,201301,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,22
Sagarpur / Rohini,Kohat Enclave,Restaurant,Chings Wok,28.69010766,77.13440895,"ggarwal City Mall, 2nd Floor, Rani Bagh, Pitampura","ggarwal City Mall, 2nd Floor, Rani Bagh, Pitampura",,"ggarwal City Mall, 2nd Floor, Rani Bagh, Pitampura",515d371ab0ed5a73ef7de111,,New Delhi,Delhi,India,Chinese,Chinese Restaurant,Chinese Restaurants,11
Lajpat Nagar,East of Kailash,Hotel,WokStar,28.55109011,77.2513675,,India,,New Delhi,5251549311d2c47a01781b6e,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,15
Saket,Shahpur Jat,Hotel,Hotel White,28.54758072,77.21328735,,India,,New Delhi,51eb974a498e3a3dc6ca2a1e,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,2
Sarojini Nagar,Hauz Khas Village,Hotel,dzücou,28.5545845,77.1938858,,India,,New Delhi,514ef1dae4b01c6c1d4175d0,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,2
Vasant Kunj,Vasant Kunj Mall Road,Hotel,Soy Express,28.54171611,77.15434846,DLF Promenade Food Court,DLF Promenade Food Court,,DLF Promenade Food Court,5082d1f1e4b0134249282c3e,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,25
Sarojini Nagar,Safdarjung Enclave,Hotel,Kung fu Express,28.56956395,77.19223092,Bhikaji Cama Place,Bhikaji Cama Place,,Bhikaji Cama Place,51f0f722498e6834324e370f,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,38
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Hotel,Bangkok Thai,28.480855,77.080195,,India,,New Delhi,5228b658498e17bf51788aea,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,7
Vasant Kunj,,Hotel,Auma,28.53261766,77.15135073,DLF Emporio,DLF Emporio,,DLF Emporio,4f2973c8e4b0187052dd3fc7,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,25
Sector 12 Noida,Noida Sector 12,Hotel,Asia kitchen,28.5353603,77.3453387,Sector 63,Sector 63,,Sector 63,4d1dfe450901721edea67da5,201301,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,39
Lajpat Nagar,Abul Fazal Enclave-I ,Hotel,Tounge Thai'd,28.570903,77.23937,"C-12, Lajpat Nagar-II","C-12, Lajpat Nagar-II",,Abul Fazal Enclave-I         ,5839a71c37da1d46fb887b5c,110025,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,33
Arjun Nagar ,Arjun Nagar ,Hotel,Big wong,28.42557877,77.05757025,Banni square,Banni square (Mayfield Garden),Mayfield Garden,Mayfield Garden,52b85b65498e43b4ea6a5c9b,122001,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,18
Sarojini Nagar,,Hotel,Ziu,28.57230782,77.17369905,,India,,New Delhi,564d95c1498efb992e3c9411,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,38
Green Park,Green Park Market ,Hotel,Bo-Tai,28.525517,77.18415,,New Delhi 110016,,Green Park Market,5ae48a754ac28a002c5003dd,110016,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,23
Connaught Place,Baroda House ,Hotel,Plum By Bent Chair,28.618522,77.218719,"22, Janpath Road","22, Janpath Road",,Baroda House,5d7d5430f6e3190008567717,110001,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,13
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",Baraula,Hotel,Big Wong,28.54089,77.369446,,Noida 201304,,Noida 201304,5fa7b2e04d79992ef91486f5,201304,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,39
,,Hotel,Orange Chopsticks,28.50960952,77.07143267,,India,,New Delhi,50a5fbe1e4b0d40bc241f631,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,19
Rajouri Garden,Amberhai ,Hotel,Basil Tree,28.592588,77.04124,,Delhi 110075,,Amberhai,5a47b35d029a5541c4aecdd3,110075,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,12
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",Gurgaon Sector 45 ,Hotel,Baan Thai Food,28.440764,77.103215,,Gurugram 122003,,Gurugram 122003,58f0dcc6aa6c955cd7f0536b,122003,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,24
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",Gurgaon South City II ,Hotel,hong kong express,28.423446,77.039412,2 Floor,"2 Floor (Raheja mall, Sohna Road)","Raheja mall, Sohna Road","Raheja mall, Sohna Road",54d63ea5498e9cbc5d028a21,122018,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,18
Greater Kailash,Greater Kailash,Restaurant,Dao,28.5565108,77.2330189,,India,,New Delhi,534910b2498ed70ddb37855a,,New Delhi,Delhi,India,Dim Sum,Dim Sum Restaurant,Dim Sum Restaurants,33
Rajouri Garden,,Hotel,Bawarchi Thai,28.66653384,77.11399558,,New Delhi,,New Delhi,4e0dea4a62843e04afa5c493,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,27
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Hotel,Berco's,28.539319,77.36544,,India,,New Delhi,589700d1ba883735f3eb288e,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,39
Baroda House / paharganj,Paharganj,Hotel,Tom Yam Rooftop Restaurant,28.641011,77.212043,Hare Krishna hotel,Hare Krishna hotel,,Hare Krishna hotel,4f5063bbe4b062d9d9d5a175,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,13
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Restaurant,Crazy Noodles,28.56772344,77.32637053,Great India Place,Great India Place (Sector 1x),Sector 1x,Sector 1x,4bc09f774cdfc9b6e41b9321,,New Delhi,Delhi,India,Chinese,Chinese Restaurant,Chinese Restaurants,22
Sarojini Nagar,R K Puram Sect-1 ,Hotel,Ziu,28.570654,77.16909,"Sangam Courtyard Major Somnath Marg, Sector 9, R.K. Puram","Sangam Courtyard Major Somnath Marg, Sector 9, R.K. Puram",,R K Puram Sect-1,56c9eda9498e4246a9cd75ea,110022,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,38
Gurgaon Road ,,Hotel,Neung Roi,28.54394736,77.11985867,,India,,New Delhi,521e24e711d240bcc675017e,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,14
Saket,,Restaurant,YUM YUM CHA,28.52872519,77.21953637,"2nd Floor, SelectCityWalk, Next To Johnny Rockets, Saket","2nd Floor, SelectCityWalk, Next To Johnny Rockets, Saket",,Saket,54414625498e8d71416cc190,,New Delhi,Delhi,India,Japanese,Japanese Restaurant,Japanese Restaurants,23
Greater Kailash,Chittaranjan Park,Hotel,dimcha,28.537079,77.244995,"N-17, Greater Kailash 1","N-17, Greater Kailash 1",,"N-17, Greater Kailash 1",53e75e98498e457cc2faafc2,,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,15
Gadaipur ,Gadaipur ,Hotel,THAI HIGH at the Qutab,28.52263737,77.18235075,"1091/1 AMBAWATTA COMPLEX, MEHRAULI,","1091/1 AMBAWATTA COMPLEX, MEHRAULI, (KALKA DAS MARG)",KALKA DAS MARG,Gadaipur,5298bdb211d211195ee7dd0a,110030,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,23
Connaught Place,Baroda House ,Restaurant,SIDEWOK,28.63290565,77.21640224,"P-21/90 Outer Circle , Connaught Place","P-21/90 Outer Circle , Connaught Place",,Baroda House,4eeb625299119cf9ce0e3cd9,110001,New Delhi,Delhi,India,Chinese,Chinese Restaurant,Chinese Restaurants,13
Vasant Kunj,Vasant Vihar,Restaurant,The Other Side,28.55245035,77.16215729,"47, 2nd floor, Vasant Lok Market , Priya Cinema Complex","47, 2nd floor, Vasant Lok Market , Priya Cinema Complex (Vasant Vihar,)","Vasant Vihar,","Vasant Vihar,",52af42f311d200c41d6acf01,,New Delhi,Delhi,India,Chinese,Chinese Restaurant,Chinese Restaurants,25
Green Park,Green Park Market ,Hotel,Fat Ninja,28.5543489,77.19464547,"26, Hauz Khas Village","26, Hauz Khas Village",,Green Park Market,50880744e4b0835853090986,110016,New Delhi,Delhi,India,Asian,Asian Restaurant,Asian Restaurants,2
C.C.I. ,C.C.I. ,Restaurant,Momo's Point,28.68147858,77.2070668,Behind Mc Donalds Jawahar Nagar,Behind Mc Donalds Jawahar Nagar (Kamla Nagar),Kamla Nagar,C.C.I.,4edc8d97b8f7fcd042d317c7,110007,New Delhi,Delhi,India,Chinese,Chinese Restaurant,Chinese Restaurants,20
Gadaipur ,Gadaipur ,Hotel,Thai High,28.5221271,77.18183145,Ambawatta Complex,Ambawatta Complex (Mehrauli Market),Mehrauli Market,Gadaipur,4b5c0453f964a520562129e3,110030,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,23
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",Bhondsi ,Hotel,Wangshis,28.412063,77.048553,The Sapphire Mall,The Sapphire Mall,,The Sapphire Mall,59c687267918717eb3fb3450,122102,New Delhi,Delhi,India,Thai,Thai Restaurant,Thai Restaurants,18
Aliganj ,Aliganj ,Restaurant,SOY,28.60033915,77.22705539,"58, Middle Lane, Khan Market","58, Middle Lane, Khan Market",,Delhi High Court,5081246ae4b06d381977a21b,110003,New Delhi,Delhi,India,Chinese,Chinese Restaurant,Chinese Restaurants,26
Dwarka,,Restaurant,Berco's,28.59324178,77.04680202,Sector 12,Sector 12,,Sector 12,50d6d789498ee282996ddce4,,New Delhi,Delhi,India,Chinese,Chinese Restaurant,Chinese Restaurants,12
Connaught Place,Connaught Place,Snacks,nathuram kachori wala,28.63092813,77.21561625,,India,,New Delhi,5094ed27e4b0e52fa364ae58,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,13
Gadaipur ,Gadaipur ,Caf�,Quick Brown Fox Coffee Roasters,28.504362,77.185075,,New Delhi 110030,,Gadaipur,5bf920f6c5b11c002ca0fef9,110030,New Delhi,Delhi,India,Coffee Shop,Coffee Shop,Coffee Shops,23
Greater Noida,Bisrakh,Hotel,JAYPEE GREENS GOLF & SPA RESORT,28.4678236,77.51081944,Surajpur Kasna Road,Surajpur Kasna Road,,Surajpur Kasna Road,4e05fc90d22d6585329c8e1c,201306,New Delhi,Delhi,India,Hotel,Hotel,Hotels,10
Karol Bagh,Dada Ghosh Bhawan ,Hotel,Jaypee Siddharth,28.64248332,77.17554331,3 Rajendra Place,3 Rajendra Place,,Dada Ghosh Bhawan,4bc7908b93bdeee1888437ae,110008,New Delhi,Delhi,India,Hotel,Hotel,Hotels,5
Sarojini Nagar,Kidwai Nagar East ,Snacks,The Qube,28.58016234,77.18927013,The Leela Palace,The Leela Palace (Africa Ave),Africa Ave,Kidwai Nagar East,4e83f8488231976d621d9ffd,110023,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,38
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Snacks,Hot 'N Chillz,28.57499371,77.35678399,Noida City Metro Station,Noida City Metro Station,,Noida City Metro Station,4eab894ed3e3846cbd21f90d,,New Delhi,Delhi,India,Food Truck,Food Truck,Food Trucks,39
Civil Lines,,Snacks,Basant Paranthewala,28.42458049,77.06969261,Opposite Artemis Hospital,Opposite Artemis Hospital,,Opposite Artemis Hospital,5613aa38498e69013961d8a9,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,18
Rajouri Garden,Shakti Nagar,Snacks,"Gopal Ji Corner, Kamla Nagar (Delhi)",28.68236923,77.19969177,,India,,New Delhi,536da5e8498e381f660e008c,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,20
Saket,D.E.S.U. Colony ,Snacks,Amar sweets,28.6268867,77.09476593,Shiv Nagar,Shiv Nagar (Shiv Nagar Market St No 4),Shiv Nagar Market St No 4,D.E.S.U. Colony,506c7e9ee4b089b1c841e7dd,110058,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,3
Baroda House / paharganj,Shahpur Jat,Snacks,"DMS Stall, Sri Fort",28.54557037,77.21155548,,India,,New Delhi,505ea77ae4b0a06084d3a9bb,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,2
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",Paharganj,Snacks,Open Hand Cafe,28.64028472,77.21019846,,Pahar Ganj,Pahar Ganj,Pahar Ganj,4d09b2a6c370a35d07e90c22,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,13
Civil Lines,,Snacks,Aggarwal sweets and snacks,28.57470602,77.32814902,d block mkt,d block mkt,,d block mkt,4f27cffee4b0d3edd578e648,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,22
Lajpat Nagar,Ghantewala,Snacks,malka ganj tea point,28.6785717,77.20776367,,India,,New Delhi,5201c2d5498e58f25ca241e3,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,20
Greater Kailash,,Snacks,nutri punch,28.549494,77.236751,,India,,New Delhi,5582dee9498e3b830bdd15fc,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,15
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Snacks,"Lal Market, Arun Vihar Noida",28.56908927,77.34457601,,India,,New Delhi,50692708e4b02bd345194bf3,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,39
Anand Vihar ,Shakarpur,Snacks,Chillz,28.62909176,77.28311856,,India,,New Delhi,4fd961cae4b0283349c67a0a,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,1
Baroda House / paharganj,Paharganj,Snacks,New Mount Everest Restaurant,28.64116791,77.21346039,,New Delhi,,New Delhi,4dbcf5c30cb691071cb0815a,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,13
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Snacks,Orbit,28.462976,77.049967,,Gurgaon,,Gurgaon,4dccd23bb0fb25f6e31bc83b,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,0
Faridabad,Sector 15 - Faridabad,Snacks,Goli Vada Pav,28.39511939,77.32222037,Sector 15,Sector 15,,Sector 15,54b5287e498e4338b6750404,121006,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,4
Greater Kailash,,Snacks,Amul,28.51469845,77.25067716,Jamia Hamdard,Jamia Hamdard,,Jamia Hamdard,4fcb9f2ae4b068d420251a0e,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,15
Greater Kailash,,Snacks,Kittu dhaba,28.73639827,77.4833637,,India,,New Delhi,512b4db2e4b0f4c994759c75,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,37
Chakkarpur ,Chakkarpur ,Snacks,ram chole bhature,28.49347687,77.09593964,U Block Dlf Phase 3,U Block Dlf Phase 3,,U Block Dlf Phase 3,530841a811d29871e576befe,122002,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,19
Karol Bagh,,Snacks,Shudh,28.64544949,77.19045481,"Gurudwara Rd, Karol Bagh West Extension Area, Karo","Gurudwara Rd, Karol Bagh West Extension Area, Karo",,"Gurudwara Rd, Karol Bagh West Extension Area, Karo",4c467dbd417b20a144f6daa9,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,5
Sagarpur / Rohini,,Snacks,Shri Ram Chhole Bhature,28.70752423,77.15502387,,India,,New Delhi,4e88083a02d5546fe9998888,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,11
Chakkarpur ,Chakkarpur ,Restaurant,IHOP,28.49519603,77.08877063,CyberHub,CyberHub,,CyberHub,59365b5d3b4e004bfd2b5c06,122002,New Delhi,Delhi,India,Diner,Diner,Diners,19
C.C.I. ,C.C.I. ,Snacks,Bille Di Hatti | ?????? ?? ?????,28.68158765,77.2017194,72-D Kamla Nagar,72-D Kamla Nagar,,C.C.I.,4cd75bdc7da9a35d45a8f4b9,110007,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,20
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Snacks,Crowne Plaza Executive Club Lounge,28.46816427,77.05948483,,India,,New Delhi,4ff917f0e4b05ae524def128,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,0
Sagarpur / Rohini,Bakkarwala ,Snacks,malik chole bhature & caterers,28.68189332,77.06777215,C-461 PNB STREET MAIN NANGLOI CHOWK,C-461 PNB STREET MAIN NANGLOI CHOWK (Najafgarh Road),Najafgarh Road,Bakkarwala,51a86687498e76439b4abe86,110041,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,31
Baroda House / paharganj,Paharganj,Snacks,Metropolis Hotel / Tourist Home,28.64070259,77.21065447,"Main Bazar Rd, Paharganj","Main Bazar Rd, Paharganj",,"Main Bazar Rd, Paharganj",4cb02f97c5e6a1cda213d3f6,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,13
Connaught Place,Baratooti ,Snacks,Shiv Misthan Bandhaar,28.65669231,77.22441333,Chandni Chowk,Chandni Chowk,,Hauz Qazi,5049be58e4b0713dc68a1c5c,110006,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,21
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Snacks,CafeG,28.46824356,77.05949569,Crowne Plaza,Crowne Plaza,,Crowne Plaza,4d0189e72f03224b472e61e2,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,0
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Snacks,Rolls King Sec 62,28.61822859,77.37036894,,India,,New Delhi,516298ebe4b040e21d40ed0a,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,16
Vasant Kunj,,Restaurant,Aggarwal Sweets,28.50590861,77.17462571,Sector 22 Chowk,Sector 22 Chowk,,Sector 22 Chowk,4d3d3ac444f5a093e744d3bb,,New Delhi,Delhi,India,Indian,Indian Restaurant,Indian Restaurants,25
,,Snacks,Great Taste of India,28.49300152,77.0921358,DLF Cyber Greens,"DLF Cyber Greens (Food Court, First Floor)","Food Court, First Floor","Food Court, First Floor",51e8d5df498ecafddbc05acf,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,19
Sagarpur / Rohini,,Snacks,Jaiveer,28.70048121,77.11805241,,India,,New Delhi,553c9959498e339378c55484,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,11
Airport,,Snacks,Pride Cafe,28.553444,77.12314,,???,,New Delhi,57ec8ec9498eb805bdab60ec,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,14
Sarojini Nagar,Ansari Nagar ,Caf�,Blue Tokai Coffee Roasters,28.559903,77.196961,B6 Commercial Complex,B6 Commercial Complex,,Nauroji Nagar,5d667f0bd316ec00079a40fa,110029,New Delhi,Delhi,India,Coffee Shop,Coffee Shop,Coffee Shops,2
Ghaziabad,,Snacks,Comesum The Food Junction,28.65568733,77.4303894,,India,,,4fc8ba14e4b0efc1d560b889,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,17
Delhi Cantonment,,Snacks,"Go Air Lounge, Chatrapati Shivaji Domestic Airport, Mumbai",28.59456304,77.12542964,Domestic Airport,Domestic Airport,,Domestic Airport,528ebfc511d2c8638f72211a,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,35
Vasant Kunj,,Snacks,Bikaner Sweets,28.5089341,77.1680865,CDR Chowk,CDR Chowk,,CDR Chowk,4e53db118877863330a7c7f5,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,25
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Snacks,Eggers Madhouse,28.47744783,77.07291389,Under Huda City Center Metro Station,Under Huda City Center Metro Station (Gurgaon Sector 29),Gurgaon Sector 29,Gurgaon Sector 29,53faf3ad498e48ede518c314,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,7
Lajpat Nagar,,Snacks,Ivory 32 restaurant,28.5483012,77.2383086,,India,,,50272d50e4b004413a21761d,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,15
Sarojini Nagar,,Snacks,Food Point,28.602702,77.186424,,India,,,4fb0823ae4b003eb686ea881,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,38
Saket,"Distt. Court Complex, Saket ",Hotel,IHOP,28.528494,77.219103,"Unit S18, Select City Walk Mall","Unit S18, Select City Walk Mall (Select Citywalk)",Select Citywalk,Distt. Court Complex  Saket   ,5b38ee65446ea6002cb8b0cc,110017,New Delhi,Delhi,India,American,American Restaurant,American Restaurants,23
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",,Snacks,Chai Thela,28.413723,77.04352,,India,,,5775eee8498ee0caef1422cb,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,18
Lajpat Nagar,,Snacks,Whole Foods Cafe,28.54129233,77.28366282,Mathura rd.,Mathura rd. (Sarita Vihar),Sarita Vihar,Sarita Vihar,50da89efe4b025ae064f4fe0,,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,9
Sagarpur / Rohini,Avantika ,Snacks,Suruchi,28.70291129,77.11760291,Maharaja Agrasain Road,Maharaja Agrasain Road (Rohini),Rohini,Avantika,56f7264d498ed90420dfcffa,110085,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,11
Connaught Place,Baratooti ,Snacks,The Breakfast Club,28.65885519,77.22040505,"2489, Corner Chhotta Rang Mahal, Phatak Habash Khan,","2489, Corner Chhotta Rang Mahal, Phatak Habash Khan, (Tilak Bazar, Khari Baoli, Chandni Chowk)","Tilak Bazar, Khari Baoli, Chandni Chowk",Hauz Qazi,52c38a31498e6b0614af51ae,110006,New Delhi,Delhi,India,Breakfast,Breakfast Spot,Breakfast Spots,21
Baroda House / paharganj,,Caf�,Odeon Social,28.6344142,77.22093551,"23, First Floor, Odeon Building, Radial Road 5, D Block","23, First Floor, Odeon Building, Radial Road 5, D Block",,"23, First Floor, Odeon Building, Radial Road 5, D Block",569b32b5498ef7c4152b45fb,,New Delhi,Delhi,India,Café,Café,Cafés,13
Lajpat Nagar,Abul Fazal Enclave-I ,Caf�,Zahra Restaurant & Cafe,28.562307,77.288435,,New Delhi 110025,,Abul Fazal Enclave-I         ,5fccd9f1b05f39263a31e777,110025,New Delhi,Delhi,India,Café,Café,Cafés,9
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Caf�,Roots - Cafe in the Park,28.46949976,77.06826401,"Rajiv Gandhi Renewable Energy Park, Leisure Valley, Sector 29","Rajiv Gandhi Renewable Energy Park, Leisure Valley, Sector 29 (Opp. HUDA Grounds)",Opp. HUDA Grounds,Opp. HUDA Grounds,4d3109e6329e548132daa21d,,New Delhi,Delhi,India,Café,Café,Cafés,0
DLF Phase II III IV,,Snacks,Chaayos,28.46762791,77.08213325,"Ground Floor, Galleria Market","Ground Floor, Galleria Market (DLF Phase 4)",DLF Phase 4,DLF Phase 4,525c0cae498e426b7bcaad5b,,New Delhi,Delhi,India,Tea Room,Tea Room,Tea Rooms,34
Sarojini Nagar,Moti Bagh,Caf�,Cafeteria and CO.,28.588694,77.16914,293 Satya Niketan,293 Satya Niketan,,293 Satya Niketan,58b93e097220e661dd750a5d,,New Delhi,Delhi,India,Café,Café,Cafés,38
Aliganj ,,Caf�,Fab Cafe By The Lake,28.598408,77.2458,,India,,,5fd4614f537ee64050e2fcfa,,New Delhi,Delhi,India,Café,Café,Cafés,26
Connaught Place,Baroda House ,Caf�,Café Lota,28.61317651,77.24207085,"National Crafts Museum, Pragati Maidan","National Crafts Museum, Pragati Maidan (Bhairon Marg)",Bhairon Marg,Baroda House,52616b92498ed20e397b6d64,110001,New Delhi,Delhi,India,Café,Café,Cafés,26
"Sector 53, 54, 55, 58, 59, 62, 65, 66, 67, 69, 70, 72 Gurugram",Bhondsi ,Caf�,Cafe Cover Drive,28.396678,77.10483,Backyard Sports Club,"Backyard Sports Club (Sector 59, Kadarpur)","Sector 59, Kadarpur","Sector 59, Kadarpur",5f4def6323de1e4257124716,122102,New Delhi,Delhi,India,Café,Café,Cafés,24
